Team;Player;Position;Status;News date;Injury;Return date
ATLANTA;Lou Williams;SG;Sidelined;Feb 4, 2022;Hamstring;Day-to-day
BOSTON;Bol Bol;C;Sidelined;Jan 10, 2022;Foot;Out indefinitely
BOSTON;P.J. Dozier;SG;Sidelined;Nov 22, 2021;Knee;Out indefinitely
BROOKLYN;Nicolas Claxton;PF;Questionable;Feb 4, 2022;Hamstring;day-to-day
BROOKLYN;James Harden;SG;Sidelined;Feb 3, 2022;Hamstring;Day-to-day
BROOKLYN;LaMarcus Aldridge;C;Sidelined;Jan 28, 2022;Ankle;Out until Feb. 6 at least
BROOKLYN;Paul Millsap;PF;Sidelined;Jan 15, 2022;Personal;Out indefinitely
BROOKLYN;Kevin Durant;SF;Sidelined;Jan 14, 2022;Knee;Targeting mid-March return
BROOKLYN;Joe Harris;SG;Sidelined;Nov 13, 2021;Ankle;Out indefinitely
CHARLOTTE;Cody Martin;SG;Sidelined;Feb 6, 2022;Achilles;day-to-day
CHARLOTTE;Gordon Hayward;SF;Sidelined;Feb 6, 2022;Ankle;Out indefinitely
CHARLOTTE;James Bouknight;SG;Sidelined;Feb 6, 2022;Wrist;day-to-day
CHARLOTTE;Jalen McDaniels;SF;Sidelined;Jan 20, 2022;Ankle;Week-to-week
CHICAGO;Ayo Dosunmu;SG;Sidelined;Feb 7, 2022;Concussion;
CHICAGO;Derrick Jones Jr.;SF;Sidelined;Jan 24, 2022;Finger;Targeting mid-March return
CHICAGO;Alex Caruso;PG;Sidelined;Jan 21, 2022;Wrist;Targeting late-March return
CHICAGO;Lonzo Ball;PG;Sidelined;Jan 14, 2022;Knee;Targeting mid-March
CHICAGO;Patrick Williams;SF;Sidelined;Oct 27, 2021;Wrist;Could be back before playoffs
CLEVELAND;Lauri Markkanen;PF;Sidelined;Jan 21, 2022;Ankle;Out indefinitely
CLEVELAND;Collin Sexton;PG;Sidelined;Nov 7, 2021;Knee;Out for season
DALLAS;Kristaps Porzingis;C;Sidelined;Jan 28, 2022;Knee;Day-to-day
DALLAS;Tim Hardaway Jr.;SG;Sidelined;Jan 24, 2022;Foot;Out indefinitely
DALLAS;Sterling Brown;SG;Questionable;Jan 18, 2022;Foot;Out indefinitely
DALLAS;Eugene Omoruyi;SG;Sidelined;Dec 18, 2021;Foot;Will miss 4-6 months
DENVER;Austin Rivers;PG;Sidelined;Feb 5, 2022;Hip;Day-to-day
DENVER;Vlatko Cancar;SF;Sidelined;Jan 2, 2022;Foot;Questionable to return this season
DENVER;Michael Porter Jr.;SF;Sidelined;Nov 5, 2021;Back;Likely out for the 2021-22 season
DENVER;Jamal Murray;PG;Sidelined;Apr 12, 2021;Knee;Questionable to play this season
DETROIT;Killian Hayes;PG;Probable;Feb 8, 2022;Leg;Day-to-day
DETROIT;Cade Cunningham;PG;Questionable;Jan 31, 2022;Hip;Day-to-day
DETROIT;Jamorko Pickett;SF;Sidelined;Jan 31, 2022;Toe;Day-to-day
DETROIT;Josh Jackson;SF;Questionable;Jan 29, 2022;Back;Out indefinitely
DETROIT;Luka Garza;C;Sidelined;Jan 19, 2022;Medical Protocols;Day-to-day
DETROIT;Isaiah Livers;SF;Sidelined;Jan 1, 2022;Foot;Out indefinitely
GOLDEN STATE;Kevon Looney;C;Probable;Feb 7, 2022;Quadriceps;Day-to-day
GOLDEN STATE;Andre Iguodala;SF;Sidelined;Feb 6, 2022;Back;Day-to-day
GOLDEN STATE;Nemanja Bjelica;PF;Sidelined;Jan 30, 2022;Back;Day-to-day
GOLDEN STATE;Draymond Green;PF;Sidelined;Jan 8, 2022;Back;Expects to be out until at least early March
GOLDEN STATE;James Wiseman;C;Sidelined;Apr 9, 2021;Knee;Out indefinitely
HOUSTON;Daniel Theis;C;Sidelined;Feb 7, 2022;Personal;Day-to-day
HOUSTON;Eric Gordon;SG;Questionable;Feb 5, 2022;Heel;Day-to-day
HOUSTON;Usman Garuba;PF;Sidelined;Jan 24, 2022;Wrist;Targeting late-March return
INDIANA;Reggie Perry;PF;Sidelined;Feb 5, 2022;Rest;Day-to-day
INDIANA;Isaiah Jackson;C;Sidelined;Feb 1, 2022;Ankle;Day-to-day
INDIANA;Malcolm Brogdon;PG;Sidelined;Jan 19, 2022;Achilles;Day-to-day
INDIANA;Myles Turner;C;Sidelined;Jan 15, 2022;Foot;Targeting early-March return
INDIANA;Ricky Rubio;PG;Sidelined;Dec 27, 2021;Knee;Out for season
INDIANA;T.J. McConnell;PG;Sidelined;Nov 30, 2021;Wrist;Week-to-week
INDIANA;T.J. Warren;SF;Sidelined;Dec 29, 2020;Foot;Out indefinitely
LOS ANGELES;Jay Scrubb;SG;Sidelined;Feb 8, 2022;Toe;Out for season
LOS ANGELES;Paul George;SF;Sidelined;Dec 24, 2021;Elbow;Out indefinitely
LOS ANGELES;Jason Preston;PG;Sidelined;Oct 5, 2021;Foot;Out indefinitely
LOS ANGELES;Kawhi Leonard;SF;Sidelined;Jun 15, 2021;Knee;Questionable to play this season
LOS ANGELES;Russell Westbrook;PG;Questionable;Feb 8, 2022;Back;Day-to-day
LOS ANGELES;LeBron James;SF;Questionable;Feb 7, 2022;Knee;Day-to-day
LOS ANGELES;Dwight Howard;C;Questionable;Feb 4, 2022;Back;Day-to-day
LOS ANGELES;Carmelo Anthony;PF;Sidelined;Feb 3, 2022;Hamstring;Out until at least Feb. 12
LOS ANGELES;Sekou Doumbouya;SF;Sidelined;Jan 20, 2022;Medical Protocols;Day-to-day
LOS ANGELES;Kendrick Nunn;PG;Sidelined;Oct 20, 2021;Knee;Unlikely to play before March
MEMPHIS;Yves Pons;SF;Sidelined;Feb 6, 2022;Thigh;Day-to-day
MEMPHIS;Santi Aldama;C;Sidelined;Feb 6, 2022;Foot;Day-to-day
MEMPHIS;Killian Tillie;C;Sidelined;Feb 6, 2022;Back;Day-to-day
MEMPHIS;Dillon Brooks;SF;Sidelined;Jan 7, 2022;Ankle;Targeting mid-February return
MIAMI;Caleb Martin;SF;Probable;Feb 8, 2022;Achilles;Day-to-day
MIAMI;Tyler Herro;SG;Probable;Feb 5, 2022;Knee;Day-to-day
MIAMI;Markieff Morris;PF;Sidelined;Nov 8, 2021;Neck;Out indefinitely
MIAMI;Victor Oladipo;SG;Sidelined;Apr 7, 2021;Knee;Out indefinitely
MILWAUKEE;Grayson Allen;SG;Probable;Feb 8, 2022;Hip;Day-to-day
MILWAUKEE;George Hill;PG;Sidelined;Jan 28, 2022;Neck;Out indefinitely
MILWAUKEE;Brook Lopez;C;Sidelined;Oct 20, 2021;Back;Out indefinitely
MINNESOTA;Anthony Edwards;SG;Questionable;Feb 8, 2022;Knee;Day-to-day
MINNESOTA;McKinley Wright IV;PG;Sidelined;Feb 8, 2022;Elbow;Day-to-day
MINNESOTA;Patrick Beverley;PG;Sidelined;Feb 8, 2022;Ankle;Day-to-day
NEW ORLEANS;Willy Hernangomez;C;Sidelined;Feb 2, 2022;Medical Protocols;Expected to clear quarantine by Feb. 8th
NEW ORLEANS;Larry Nance Jr.;PF;Sidelined;Jan 5, 2022;Knee surgery;Out indefinitely
NEW ORLEANS;Kira Lewis Jr.;PG;Sidelined;Dec 7, 2021;Knee;Out for season
NEW ORLEANS;Zion Williamson;PF;Sidelined;Sep 27, 2021;Foot;Out indefinitely
NEW YORK;RJ Barrett;SF;Doubtful;Feb 8, 2022;Ankle;Day-to-day
NEW YORK;Mitchell Robinson;C;Sidelined;Feb 7, 2022;Back;
NEW YORK;Nerlens Noel;C;Questionable;Feb 7, 2022;Knee;Day-to-day
NEW YORK;Quentin Grimes;SG;Questionable;Feb 6, 2022;Knee;Day-to-day
NEW YORK;Ryan Arcidiacono;PG;Questionable;Jan 18, 2022;Ankle;Day-to-day
NEW YORK;Derrick Rose;PG;Sidelined;Dec 21, 2021;Ankle;Targeting March return
OKLAHOMA CITY;Mike Muscala;PF;Sidelined;Feb 6, 2022;Ankle;Out indefinitely
OKLAHOMA CITY;Aaron Wiggins;SF;Sidelined;Feb 2, 2022;Ankle;Week-to-week
OKLAHOMA CITY;Jeremiah Robinson-Earl;PF;Sidelined;Feb 1, 2022;Foot;Targeting a mid-March return
OKLAHOMA CITY;Isaiah Roby;PF;Sidelined;Jan 31, 2022;Ankle;Day-to-day
OKLAHOMA CITY;Shai Gilgeous-Alexander;SG;Sidelined;Jan 27, 2022;Ankle;Out at least through the All-Star Break
OKLAHOMA CITY;KZ Okpala;SF;Sidelined;Dec 31, 2021;Wrist;Out indefinitely
ORLANDO;Jalen Suggs;PG;Sidelined;Feb 8, 2022;Achilles;Day-to-day
ORLANDO;Moritz Wagner;C;Sidelined;Feb 7, 2022;Ribs;Day-to-day
ORLANDO;RJ Hampton;SG;Sidelined;Jan 18, 2022;Knee;Out indefinitely
ORLANDO;E'Twaun Moore;SF;Sidelined;Oct 18, 2021;Knee;Out indefinitely
ORLANDO;Michael Carter-Williams;PG;Sidelined;Oct 5, 2021;Ankle;Out indefinitely
ORLANDO;Markelle Fultz;PG;Sidelined;Jan 5, 2021;Knee;Out indefinitely
ORLANDO;Jonathan Isaac;SF;Sidelined;Aug 1, 2020;Knee;Out indefinitely
PHILADELPHIA;Shake Milton;SG;Sidelined;Jan 5, 2022;Back;Out indefinitely
PHILADELPHIA;Ben Simmons;PG;Sidelined;Oct 30, 2021;Personal;Out indefinitely
PHOENIX;Landry Shamet;SG;Sidelined;Jan 30, 2022;Ankle;Targeting All-Star break return
PHOENIX;Cameron Payne;PG;Sidelined;Jan 21, 2022;Wrist;Out indefinitely
PHOENIX;Abdel Nader;SG;Sidelined;Jan 8, 2022;Conditioning;Day-to-day
PHOENIX;Frank Kaminsky;C;Sidelined;Nov 15, 2021;Knee;Out indefinitely
PHOENIX;Dario Saric;PF;Sidelined;Jul 5, 2021;Knee;Out indefinitely
PORTLAND;Josh Hart;SF;Sidelined;Feb 8, 2022;Rest;Day-to-day
PORTLAND;Keon Johnson;SG;Sidelined;Feb 4, 2022;Ankle;Week-to-week
PORTLAND;Eric Bledsoe;PG;Sidelined;Feb 4, 2022;Achilles;Day-to-day
PORTLAND;Trendon Watford;PF;Probable;Feb 2, 2022;Ankle;Day-to-day
PORTLAND;Joe Ingles;SF;Sidelined;Jan 30, 2022;Knee surgery;Out for season
PORTLAND;Marcos Louzada Silva;SF;Sidelined;Jan 26, 2022;Knee;Out indefinitely
PORTLAND;Nassir Little;SF;Sidelined;Jan 25, 2022;Shoulder;Out indefinitely
PORTLAND;Damian Lillard;PG;Sidelined;Jan 1, 2022;Abdomen;Re-evaluated mid-to-late February
SACRAMENTO;Justin Holiday;SF;Questionable;Feb 8, 2022;Rest;Day-to-day
SACRAMENTO;Moe Harkless;SF;Sidelined;Feb 7, 2022;Ankle;Day-to-day
SACRAMENTO;Marvin Bagley;PF;Sidelined;Jan 29, 2022;Ankle;Day-to-day
SACRAMENTO;Terence Davis;SG;Sidelined;Jan 25, 2022;Wrist;Out for regular season
SAN ANTONIO;Tre Jones;PG;Sidelined;Feb 8, 2022;Mouth;Day-to-day
SAN ANTONIO;Keita Bates-Diop;SF;Sidelined;Feb 2, 2022;Conditioning;Day-to-day
TORONTO;David Johnson;PG;Sidelined;Jan 22, 2022;Medical Protocols;Day-to-day
TORONTO;Goran Dragic;PG;Sidelined;Nov 27, 2021;Personal;Out indefinitely
UTAH;Rudy Gay;PF;Sidelined;Feb 5, 2022;Knee;Day-to-day
UTAH;Rudy Gobert;C;Sidelined;Jan 23, 2022;Calf;Day-to-day
WASHINGTON;Daniel Gafford;C;Sidelined;Feb 5, 2022;Medical Protocols;Can clear quarantine 2/11
WASHINGTON;Bradley Beal;SG;Sidelined;Jan 30, 2022;Wrist;Out for the rest of the season
WASHINGTON;Cassius Winston;PG;Sidelined;Oct 18, 2021;Hamstring;Out indefinitely
